volume,psnr_mild,nrmse_mild,ssim_mild,psnr_moderate,nrmse_moderate,ssim_moderate,psnr_severe,nrmse_severe,ssim_severe
IXI002-Guys-0828,38.37,0.0656,0.9713,32.72,0.1258,0.9107,25.39,0.2924,0.6785
IXI012-HH-1211,41.58,0.0516,0.9819,34.18,0.1209,0.9107,28.94,0.2209,0.7523
IXI013-HH-1212,42.33,0.0551,0.9855,32.01,0.1809,0.8866,26.31,0.3484,0.6258
IXI014-HH-1236,41.03,0.0662,0.9664,33.31,0.1608,0.871,28.41,0.2827,0.7199
IXI015-HH-1258,40.03,0.0692,0.9701,31.47,0.1855,0.8141,26.29,0.3369,0.6042
IXI016-Guys-0697,36.48,0.0685,0.9044,28.93,0.1635,0.7938,22.59,0.3389,0.5227
IXI017-Guys-0698,38.63,0.0605,0.954,31.65,0.1351,0.8584,24.28,0.3159,0.6575
IXI019-Guys-0702,35.09,0.0896,0.9453,30.03,0.1604,0.8647,24.97,0.2874,0.6555
IXI020-Guys-0700,37.51,0.0641,0.9625,30.87,0.1377,0.8792,23.74,0.313,0.6743
IXI021-Guys-0703,37.51,0.0653,0.9529,28.31,0.188,0.7659,22.9,0.3507,0.5968
